#options: 640x480 fps=12/1 timebase=1/12 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=12 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2600 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:11.84 aq:6.16 tex:618062 mv:48009 misc:161 imb:1200 pmb:0 smb:0 d:- ref:;
in:34 out:34 type:B dur:2 cpbdur:2 q:17.73 aq:14.98 tex:214866 mv:19403 misc:275 imb:161 pmb:952 smb:87 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:17.86 aq:16.40 tex:53455 mv:5542 misc:1051 imb:7 pmb:806 smb:387 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:17.60 aq:16.08 tex:92413 mv:10087 misc:644 imb:25 pmb:953 smb:222 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:17.91 aq:14.39 tex:331126 mv:9705 misc:289 imb:164 pmb:939 smb:97 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:17.69 aq:15.01 tex:209418 mv:12366 misc:272 imb:51 pmb:1048 smb:101 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:17.58 aq:16.40 tex:65462 mv:6161 misc:705 imb:3 pmb:962 smb:235 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:17.80 aq:16.82 tex:47318 mv:5053 misc:893 imb:1 pmb:892 smb:307 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:17.61 aq:14.27 tex:363451 mv:10490 misc:299 imb:629 pmb:471 smb:100 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:17.76 aq:15.85 tex:235935 mv:18669 misc:268 imb:257 pmb:837 smb:106 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:17.84 aq:17.03 tex:52087 mv:4197 misc:908 imb:5 pmb:872 smb:323 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:17.69 aq:16.20 tex:138204 mv:14696 misc:324 imb:125 pmb:935 smb:140 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:17.43 aq:13.11 tex:382110 mv:11718 misc:308 imb:497 pmb:580 smb:123 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:17.52 aq:15.21 tex:253994 mv:19403 misc:283 imb:152 pmb:916 smb:132 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:17.57 aq:16.17 tex:115317 mv:10625 misc:506 imb:39 pmb:971 smb:190 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:17.48 aq:16.12 tex:85355 mv:8072 misc:517 imb:27 pmb:973 smb:200 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:17.29 aq:12.58 tex:346744 mv:10572 misc:188 imb:300 pmb:900 smb:0 d:- ref:0 w:0,1,-1 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:17.36 aq:14.60 tex:216663 mv:14228 misc:293 imb:75 pmb:994 smb:131 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:17.40 aq:16.17 tex:54706 mv:5215 misc:799 imb:6 pmb:886 smb:308 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:17.33 aq:16.25 tex:56285 mv:5061 misc:726 imb:4 pmb:922 smb:274 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:17.37 aq:14.95 tex:348696 mv:10563 misc:285 imb:369 pmb:692 smb:139 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:17.33 aq:14.81 tex:290732 mv:16270 misc:270 imb:114 pmb:940 smb:146 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:17.31 aq:16.24 tex:119050 mv:7729 misc:365 imb:32 pmb:990 smb:178 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:17.35 aq:16.36 tex:97789 mv:6238 misc:509 imb:20 pmb:963 smb:217 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:17.17 aq:12.74 tex:393678 mv:11270 misc:276 imb:544 pmb:656 smb:0 d:- ref:0 w:7,123,13,4,17,-8,16,0 ;
in:61 out:58 type:P dur:2 cpbdur:2 q:17.13 aq:12.87 tex:427370 mv:10467 misc:387 imb:603 pmb:479 smb:118 d:- ref:0 w:7,123,9,6,57,14,64,0 ;
in:59 out:59 type:B dur:2 cpbdur:2 q:17.15 aq:15.21 tex:242245 mv:18955 misc:288 imb:315 pmb:748 smb:137 d:- ref:0 ;
in:58 out:60 type:b dur:2 cpbdur:2 q:17.16 aq:16.25 tex:212450 mv:13944 misc:246 imb:52 pmb:996 smb:152 d:- ref:0 ;
in:60 out:61 type:b dur:2 cpbdur:2 q:17.14 aq:16.23 tex:258998 mv:14467 misc:279 imb:31 pmb:1034 smb:135 d:- ref:0 ;
in:65 out:62 type:P dur:2 cpbdur:2 q:17.40 aq:13.60 tex:344940 mv:10562 misc:274 imb:216 pmb:854 smb:130 d:- ref:0 ;
in:63 out:63 type:B dur:2 cpbdur:2 q:17.27 aq:14.92 tex:180849 mv:13050 misc:269 imb:38 pmb:1025 smb:137 d:- ref:0 ;
in:62 out:64 type:b dur:2 cpbdur:2 q:17.20 aq:16.22 tex:177072 mv:11657 misc:247 imb:30 pmb:1034 smb:136 d:- ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:17.34 aq:16.42 tex:131912 mv:10215 misc:241 imb:11 pmb:1052 smb:137 d:- ref:0 ;
in:69 out:66 type:P dur:2 cpbdur:2 q:17.88 aq:13.92 tex:303245 mv:10339 misc:248 imb:336 pmb:735 smb:129 d:- ref:0 ;
in:67 out:67 type:B dur:2 cpbdur:2 q:17.64 aq:15.01 tex:158038 mv:11466 misc:240 imb:20 pmb:1051 smb:129 d:- ref:0 ;
in:66 out:68 type:b dur:2 cpbdur:2 q:17.52 aq:16.58 tex:123637 mv:8668 misc:255 imb:7 pmb:1058 smb:135 d:- ref:0 ;
in:68 out:69 type:b dur:2 cpbdur:2 q:17.76 aq:16.67 tex:118361 mv:9572 misc:267 imb:20 pmb:1034 smb:146 d:- ref:0 ;
in:73 out:70 type:P dur:2 cpbdur:2 q:18.02 aq:13.79 tex:318303 mv:10934 misc:267 imb:196 pmb:861 smb:143 d:- ref:0 ;
in:71 out:71 type:B dur:2 cpbdur:2 q:17.95 aq:15.60 tex:158921 mv:12527 misc:288 imb:20 pmb:1028 smb:152 d:- ref:0 ;
in:70 out:72 type:b dur:2 cpbdur:2 q:17.92 aq:16.96 tex:140708 mv:10412 misc:272 imb:19 pmb:1024 smb:157 d:- ref:0 ;
in:72 out:73 type:b dur:2 cpbdur:2 q:17.98 aq:17.15 tex:143343 mv:9607 misc:282 imb:14 pmb:1017 smb:169 d:- ref:0 ;
in:77 out:74 type:P dur:2 cpbdur:2 q:17.80 aq:13.70 tex:322393 mv:9676 misc:275 imb:161 pmb:877 smb:162 d:- ref:0 ;
in:75 out:75 type:B dur:2 cpbdur:2 q:17.91 aq:15.62 tex:152623 mv:10431 misc:314 imb:15 pmb:1004 smb:181 d:- ref:0 ;
in:74 out:76 type:b dur:2 cpbdur:2 q:17.96 aq:17.10 tex:135240 mv:8710 misc:266 imb:5 pmb:1010 smb:185 d:- ref:0 ;
in:76 out:77 type:b dur:2 cpbdur:2 q:17.85 aq:16.94 tex:142265 mv:9090 misc:253 imb:12 pmb:1004 smb:184 d:- ref:0 ;
in:81 out:78 type:P dur:2 cpbdur:2 q:17.78 aq:12.08 tex:371007 mv:9920 misc:305 imb:303 pmb:761 smb:136 d:- ref:0 ;
in:79 out:79 type:B dur:2 cpbdur:2 q:17.79 aq:15.17 tex:145607 mv:10214 misc:283 imb:19 pmb:992 smb:189 d:- ref:0 ;
in:78 out:80 type:b dur:2 cpbdur:2 q:17.79 aq:16.91 tex:142516 mv:8384 misc:252 imb:9 pmb:1002 smb:189 d:- ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:17.79 aq:16.56 tex:127607 mv:8982 misc:259 imb:27 pmb:973 smb:200 d:- ref:0 ;
in:85 out:82 type:P dur:2 cpbdur:2 q:17.75 aq:12.34 tex:376184 mv:7658 misc:270 imb:67 pmb:951 smb:182 d:- ref:0 ;
in:83 out:83 type:B dur:2 cpbdur:2 q:17.77 aq:15.53 tex:126419 mv:7910 misc:303 imb:8 pmb:993 smb:199 d:- ref:0 ;
in:82 out:84 type:b dur:2 cpbdur:2 q:17.77 aq:16.75 tex:128844 mv:8382 misc:286 imb:15 pmb:981 smb:204 d:- ref:0 ;
in:84 out:85 type:b dur:2 cpbdur:2 q:17.76 aq:16.82 tex:82347 mv:6107 misc:402 imb:2 pmb:959 smb:239 d:- ref:0 ;
in:89 out:86 type:P dur:2 cpbdur:2 q:17.70 aq:13.11 tex:322684 mv:5493 misc:239 imb:35 pmb:974 smb:191 d:- ref:0 ;
in:87 out:87 type:B dur:2 cpbdur:2 q:17.72 aq:15.09 tex:124713 mv:5752 misc:335 imb:0 pmb:981 smb:219 d:- ref:0 ;
in:86 out:88 type:b dur:2 cpbdur:2 q:17.74 aq:16.91 tex:74276 mv:3869 misc:367 imb:2 pmb:960 smb:238 d:- ref:0 ;
in:88 out:89 type:b dur:2 cpbdur:2 q:17.71 aq:16.85 tex:83639 mv:5772 misc:349 imb:2 pmb:972 smb:226 d:- ref:0 ;
in:93 out:90 type:P dur:2 cpbdur:2 q:17.43 aq:12.55 tex:365853 mv:5643 misc:280 imb:56 pmb:963 smb:181 d:- ref:0 ;
in:91 out:91 type:B dur:2 cpbdur:2 q:17.57 aq:14.66 tex:157141 mv:5766 misc:317 imb:2 pmb:1009 smb:189 d:- ref:0 ;
in:90 out:92 type:b dur:2 cpbdur:2 q:17.63 aq:16.75 tex:120747 mv:4410 misc:355 imb:10 pmb:984 smb:206 d:- ref:0 ;
in:92 out:93 type:b dur:2 cpbdur:2 q:17.50 aq:16.65 tex:70511 mv:5538 misc:447 imb:2 pmb:933 smb:265 d:- ref:0 ;
in:97 out:94 type:P dur:2 cpbdur:2 q:17.27 aq:13.07 tex:277959 mv:5706 misc:263 imb:66 pmb:944 smb:190 d:- ref:0 ;
in:95 out:95 type:B dur:2 cpbdur:2 q:17.35 aq:14.65 tex:123783 mv:5908 misc:357 imb:0 pmb:969 smb:231 d:- ref:0 ;
in:94 out:96 type:b dur:2 cpbdur:2 q:17.39 aq:16.55 tex:71088 mv:5464 misc:360 imb:3 pmb:970 smb:227 d:- ref:0 ;
in:96 out:97 type:b dur:2 cpbdur:2 q:17.31 aq:16.48 tex:97968 mv:5225 misc:359 imb:3 pmb:971 smb:226 d:- ref:0 ;
in:101 out:98 type:P dur:2 cpbdur:2 q:17.15 aq:13.53 tex:343513 mv:8449 misc:246 imb:107 pmb:900 smb:193 d:- ref:0 ;
in:99 out:99 type:B dur:2 cpbdur:2 q:17.21 aq:14.04 tex:181161 mv:8945 misc:310 imb:62 pmb:930 smb:208 d:- ref:0 ;
in:98 out:100 type:b dur:2 cpbdur:2 q:17.24 aq:15.88 tex:123855 mv:9179 misc:318 imb:20 pmb:960 smb:220 d:- ref:0 ;
in:100 out:101 type:b dur:2 cpbdur:2 q:17.18 aq:15.91 tex:98632 mv:6154 misc:350 imb:5 pmb:969 smb:226 d:- ref:0 ;
in:105 out:102 type:P dur:2 cpbdur:2 q:16.93 aq:13.74 tex:290608 mv:8279 misc:241 imb:497 pmb:512 smb:191 d:- ref:0 ;
